Employee_ID,Churn_risk
1005201,low
1005202,medium
1005203,medium
1005204,medium
1005205,medium
1005206,medium
1005207,medium
1005208,medium
1005209,medium
1005210,low
1005211,low
1005212,medium
1005213,low
1005214,low
1005215,medium
1005216,medium
1005217,medium
1005218,low
1005219,medium
1005220,medium
1005221,low
1005222,medium
1005223,low
1005224,low
1005225,medium
1005226,medium
1005227,medium
1005228,medium
1005229,medium
1005230,medium
1005231,low
1005232,medium
1005233,medium
1005234,low
1005235,medium
1005236,medium
1005237,low
1005238,low
1005239,low
1005240,medium
1005241,medium
1005242,high
1005243,medium
1005244,low
1005245,medium
1005246,low
1005247,low
1005248,medium
1005249,medium
1005250,medium
1005251,medium
1005252,medium
1005253,medium
1005254,medium
1005255,medium
1005256,medium
1005257,medium
1005258,medium
1005259,low
1005260,low
1005261,medium
1005262,medium
1005263,medium
1005264,medium
1005265,low
1005266,medium
1005267,low
1005268,medium
1005269,low
1005270,medium
1005271,low
1005272,low
1005273,low
1005274,medium
1005275,medium
1005276,low
1005277,low
1005278,medium
1005279,medium
1005280,medium
1005281,medium
1005282,low
1005283,medium
1005284,medium
1005285,medium
1005286,medium
1005287,low
1005288,low
1005289,low
1005290,low
1005291,medium
1005292,medium
1005293,medium
1005294,medium
1005295,medium
1005296,medium
1005297,low
1005298,medium
1005299,medium
1005300,medium
1005301,low
1005302,medium
1005303,medium
1005304,medium
1005305,low
1005306,medium
1005307,medium
1005308,medium
1005309,medium
1005310,medium
1005311,medium
1005312,low
1005313,medium
1005314,medium
1005315,medium
1005316,medium
1005317,low
1005318,low
1005319,medium
1005320,medium
1005321,medium
1005322,medium
1005323,medium
1005324,medium
1005325,medium
1005326,medium
1005327,medium
1005328,medium
1005329,medium
1005330,medium
1005331,low
1005332,low
1005333,low
1005334,medium
1005335,medium
1005336,low
1005337,low
1005338,high
1005339,high
1005340,low
1005341,low
1005342,medium
1005343,medium
1005344,medium
1005345,low
1005346,medium
1005347,medium
1005348,medium
1005349,low
1005350,low
1005351,low
1005352,low
1005353,low
1005354,low
1005355,low
1005356,medium
