Employee_ID,Churn_risk
1005201,low
1005202,medium
1005203,medium
1005204,low
1005205,medium
1005206,medium
1005207,medium
1005208,medium
1005209,medium
1005210,medium
1005211,medium
1005212,medium
1005213,medium
1005214,medium
1005215,medium
1005216,low
1005217,medium
1005218,medium
1005219,medium
1005220,medium
1005221,low
1005222,medium
1005223,low
1005224,medium
1005225,medium
1005226,medium
1005227,medium
1005228,medium
1005229,medium
1005230,medium
1005231,low
1005232,low
1005233,medium
1005234,medium
1005235,low
1005236,medium
1005237,low
1005238,medium
1005239,low
1005240,medium
1005241,medium
1005242,medium
1005243,medium
1005244,low
1005245,medium
1005246,low
1005247,low
1005248,medium
1005249,medium
1005250,medium
1005251,medium
1005252,medium
1005253,medium
1005254,medium
1005255,high
1005256,medium
1005257,medium
1005258,low
1005259,low
1005260,medium
1005261,low
1005262,medium
1005263,low
1005264,medium
1005265,low
1005266,medium
1005267,medium
1005268,medium
1005269,low
1005270,medium
1005271,low
1005272,medium
1005273,low
1005274,medium
1005275,low
1005276,low
1005277,low
1005278,low
1005279,medium
1005280,low
1005281,medium
1005282,medium
1005283,low
1005284,medium
1005285,medium
1005286,low
1005287,low
1005288,medium
1005289,medium
1005290,medium
1005291,medium
1005292,medium
1005293,medium
1005294,medium
1005295,medium
1005296,medium
1005297,medium
1005298,medium
1005299,low
1005300,medium
1005301,low
1005302,medium
1005303,medium
1005304,medium
1005305,medium
1005306,medium
1005307,low
1005308,medium
1005309,medium
1005310,medium
1005311,medium
1005312,medium
1005313,low
1005314,medium
1005315,medium
1005316,low
1005317,low
1005318,medium
1005319,low
1005320,high
1005321,medium
1005322,medium
1005323,medium
1005324,medium
1005325,medium
1005326,medium
1005327,medium
1005328,medium
1005329,low
1005330,medium
1005331,medium
1005332,low
1005333,low
1005334,medium
1005335,medium
1005336,low
1005337,low
1005338,high
1005339,low
1005340,low
1005341,low
1005342,medium
1005343,low
1005344,medium
1005345,low
1005346,medium
1005347,medium
1005348,medium
1005349,low
1005350,low
1005351,medium
1005352,low
1005353,medium
1005354,low
1005355,low
1005356,medium
