Employee_ID,Churn_risk
1005201,low
1005202,high
1005203,medium
1005204,high
1005205,high
1005206,high
1005207,high
1005208,high
1005209,medium
1005210,low
1005211,low
1005212,low
1005213,low
1005214,low
1005215,high
1005216,medium
1005217,medium
1005218,low
1005219,high
1005220,medium
1005221,low
1005222,medium
1005223,low
1005224,low
1005225,low
1005226,high
1005227,low
1005228,medium
1005229,high
1005230,medium
1005231,low
1005232,high
1005233,medium
1005234,medium
1005235,medium
1005236,high
1005237,medium
1005238,low
1005239,low
1005240,high
1005241,high
1005242,medium
1005243,high
1005244,low
1005245,high
1005246,low
1005247,low
1005248,high
1005249,high
1005250,medium
1005251,high
1005252,high
1005253,high
1005254,medium
1005255,high
1005256,low
1005257,high
1005258,low
1005259,low
1005260,high
1005261,low
1005262,high
1005263,medium
1005264,low
1005265,low
1005266,medium
1005267,low
1005268,medium
1005269,low
1005270,high
1005271,low
1005272,medium
1005273,high
1005274,low
1005275,low
1005276,low
1005277,medium
1005278,low
1005279,medium
1005280,medium
1005281,medium
1005282,medium
1005283,low
1005284,high
1005285,high
1005286,high
1005287,low
1005288,low
1005289,medium
1005290,high
1005291,high
1005292,high
1005293,low
1005294,medium
1005295,medium
1005296,medium
1005297,low
1005298,high
1005299,medium
1005300,low
1005301,medium
1005302,high
1005303,high
1005304,high
1005305,medium
1005306,medium
1005307,low
1005308,high
1005309,high
1005310,high
1005311,high
1005312,high
1005313,high
1005314,high
1005315,low
1005316,low
1005317,low
1005318,high
1005319,low
1005320,low
1005321,high
1005322,medium
1005323,low
1005324,high
1005325,low
1005326,low
1005327,medium
1005328,high
1005329,low
1005330,low
1005331,low
1005332,low
1005333,low
1005334,low
1005335,low
1005336,high
1005337,high
1005338,high
1005339,medium
1005340,low
1005341,low
1005342,low
1005343,medium
1005344,medium
1005345,low
1005346,high
1005347,medium
1005348,medium
1005349,low
1005350,low
1005351,medium
1005352,low
1005353,high
1005354,low
1005355,low
1005356,high
1005357,high
1005358,medium
1005359,high
1005360,high
1005361,low
1005362,high
1005363,high
1005364,high
1005365,high
1005366,low
1005367,high
1005368,medium
1005369,medium
1005370,high
1005371,low
1005372,low
1005373,high
1005374,high
1005375,medium
1005376,low
1005377,high
1005378,low
1005379,high
1005380,low
1005381,medium
1005382,high
1005383,high
1005384,high
1005385,high
1005386,high
1005387,low
1005388,high
1005389,high
1005390,medium
1005391,low
1005392,high
1005393,low
1005394,high
1005395,high
1005396,low
1005397,high
1005398,medium
1005399,high
1005400,medium
1005401,low
1005402,medium
1005403,medium
1005404,low
1005405,medium
1005406,low
1005407,high
1005408,low
1005409,medium
1005410,low
1005411,high
1005412,high
1005413,low
1005414,low
1005415,low
1005416,high
1005417,high
1005418,high
1005419,high
1005420,low
1005421,low
1005422,high
1005423,low
1005424,medium
1005425,medium
1005426,high
1005427,high
1005428,low
1005429,medium
1005430,high
1005431,low
1005432,high
1005433,low
1005434,low
1005435,medium
1005436,high
1005437,high
1005438,low
1005439,low
1005440,low
1005441,medium
1005442,low
1005443,low
1005444,high
1005445,high
1005446,high
1005447,low
1005448,medium
1005449,low
1005450,high
1005451,medium
1005452,medium
1005453,high
1005454,low
1005455,high
1005456,high
1005457,medium
1005458,low
1005459,low
1005460,high
1005461,medium
1005462,high
1005463,medium
1005464,high
1005465,low
1005466,medium
1005467,low
1005468,medium
1005469,high
1005470,medium
1005471,low
1005472,high
1005473,high
1005474,low
1005475,low
1005476,low
1005477,low
1005478,high
1005479,low
1005480,low
1005481,low
1005482,low
1005483,low
1005484,low
1005485,medium
1005486,high
1005487,high
1005488,high
1005489,low
1005490,low
1005491,medium
1005492,medium
1005493,high
1005494,low
1005495,low
1005496,low
1005497,medium
1005498,low
1005499,high
1005500,low
1005501,low
1005502,medium
1005503,medium
1005504,medium
1005505,low
1005506,low
1005507,low
1005508,high
1005509,low
1005510,low
1005511,high
1005512,low
1005513,low
1005514,low
1005515,low
1005516,medium
1005517,low
1005518,low
1005519,high
1005520,medium
1005521,low
1005522,high
1005523,high
1005524,low
1005525,low
1005526,high
1005527,medium
1005528,high
1005529,high
1005530,low
1005531,high
1005532,low
1005533,low
1005534,low
1005535,low
1005536,low
1005537,medium
1005538,low
1005539,medium
1005540,low
1005541,medium
1005542,medium
1005543,high
1005544,high
1005545,low
1005546,low
1005547,low
1005548,high
1005549,low
1005550,medium
1005551,high
1005552,high
1005553,high
1005554,high
1005555,medium
1005556,high
1005557,low
1005558,high
1005559,high
1005560,medium
1005561,low
1005562,low
1005563,high
1005564,high
1005565,low
1005566,medium
1005567,high
1005568,low
1005569,low
1005570,medium
1005571,medium
1005572,medium
1005573,low
1005574,low
1005575,low
1005576,high
1005577,high
1005578,high
1005579,low
1005580,high
1005581,medium
1005582,medium
1005583,low
1005584,low
1005585,low
1005586,low
1005587,high
1005588,high
1005589,low
1005590,low
1005591,low
1005592,low
1005593,low
1005594,medium
1005595,medium
1005596,high
1005597,low
1005598,low
1005599,medium
1005600,low
1005601,medium
1005602,high
1005603,high
1005604,high
1005605,low
1005606,medium
1005607,medium
1005608,low
1005609,low
1005610,medium
1005611,low
1005612,high
1005613,medium
1005614,high
1005615,high
1005616,low
1005617,medium
1005618,high
1005619,low
1005620,low
1005621,medium
1005622,medium
1005623,medium
1005624,medium
1005625,medium
1005626,low
1005627,low
1005628,low
1005629,medium
1005630,low
1005631,low
1005632,high
1005633,high
1005634,high
1005635,low
1005636,low
1005637,low
1005638,low
1005639,high
1005640,medium
1005641,low
1005642,high
1005643,low
1005644,low
1005645,high
1005646,low
1005647,medium
1005648,high
1005649,medium
1005650,medium
1005651,low
1005652,low
1005653,high
1005654,low
1005655,high
1005656,high
1005657,medium
1005658,low
1005659,low
1005660,high
1005661,high
1005662,low
1005663,high
1005664,low
1005665,high
1005666,low
1005667,low
1005668,low
1005669,low
1005670,low
1005671,high
1005672,high
1005673,medium
1005674,low
1005675,medium
1005676,high
1005677,low
1005678,high
1005679,high
1005680,low
1005681,high
1005682,high
1005683,low
1005684,medium
1005685,medium
1005686,low
1005687,medium
1005688,medium
1005689,low
1005690,low
1005691,high
1005692,high
1005693,high
1005694,high
1005695,high
1005696,medium
1005697,low
1005698,low
1005699,medium
1005700,medium
1005701,high
1005702,high
1005703,medium
1005704,medium
1005705,low
1005706,low
1005707,low
1005708,high
1005709,low
1005710,low
1005711,medium
1005712,low
1005713,medium
1005714,low
1005715,medium
1005716,low
1005717,low
1005718,low
1005719,medium
1005720,medium
1005721,high
1005722,high
1005723,high
1005724,low
1005725,low
1005726,low
1005727,high
1005728,low
1005729,high
1005730,low
1005731,low
1005732,high
1005733,low
1005734,low
1005735,high
1005736,low
1005737,high
1005738,high
1005739,medium
1005740,high
1005741,high
1005742,high
1005743,medium
1005744,high
1005745,low
1005746,medium
1005747,medium
1005748,low
1005749,high
1005750,low
1005751,low
1005752,high
1005753,medium
1005754,low
1005755,low
1005756,high
1005757,high
1005758,medium
1005759,low
1005760,low
1005761,medium
1005762,medium
1005763,high
1005764,medium
