Employee_ID,Churn_risk
1005201,0
1005202,2
1005203,1
1005204,2
1005205,2
1005206,2
1005207,2
1005208,2
1005209,1
1005210,0
1005211,0
1005212,0
1005213,0
1005214,0
1005215,2
1005216,1
1005217,1
1005218,0
1005219,2
1005220,1
1005221,0
1005222,1
1005223,0
1005224,0
1005225,0
1005226,2
1005227,0
1005228,1
1005229,2
1005230,1
1005231,0
1005232,2
1005233,1
1005234,1
1005235,1
1005236,2
1005237,1
1005238,0
1005239,0
1005240,2
1005241,2
1005242,1
1005243,2
1005244,0
1005245,2
1005246,0
1005247,0
1005248,2
1005249,2
1005250,1
1005251,2
1005252,2
1005253,2
1005254,1
1005255,2
1005256,0
1005257,2
1005258,0
1005259,0
1005260,2
1005261,0
1005262,2
1005263,1
1005264,0
1005265,0
1005266,1
1005267,0
1005268,1
1005269,0
1005270,2
1005271,0
1005272,1
1005273,2
1005274,0
1005275,0
1005276,0
1005277,1
1005278,0
1005279,1
1005280,1
1005281,1
1005282,1
1005283,0
1005284,2
1005285,2
1005286,2
1005287,0
1005288,0
1005289,1
1005290,2
1005291,2
1005292,2
1005293,0
1005294,1
1005295,1
1005296,1
1005297,0
1005298,2
1005299,1
1005300,0
1005301,1
1005302,2
1005303,2
1005304,2
1005305,1
1005306,1
1005307,0
1005308,2
1005309,2
1005310,2
1005311,2
1005312,2
1005313,2
1005314,2
1005315,0
1005316,0
1005317,0
1005318,2
1005319,0
1005320,0
1005321,2
1005322,1
1005323,0
1005324,2
1005325,0
1005326,0
1005327,1
1005328,2
1005329,0
1005330,0
1005331,0
1005332,0
1005333,0
1005334,0
1005335,0
1005336,2
1005337,2
1005338,2
1005339,1
1005340,0
1005341,0
1005342,0
1005343,1
1005344,1
1005345,0
1005346,2
1005347,1
1005348,1
1005349,0
1005350,0
1005351,1
1005352,0
1005353,2
1005354,0
1005355,0
1005356,2
1005357,2
1005358,1
1005359,2
1005360,2
1005361,0
1005362,2
1005363,2
1005364,2
1005365,2
1005366,0
1005367,2
1005368,1
1005369,1
1005370,2
1005371,0
1005372,0
1005373,2
1005374,2
1005375,1
1005376,0
1005377,2
1005378,0
1005379,2
1005380,0
1005381,1
1005382,2
1005383,2
1005384,2
1005385,2
1005386,2
1005387,0
1005388,2
1005389,2
1005390,1
1005391,0
1005392,2
1005393,0
1005394,2
1005395,2
1005396,0
1005397,2
1005398,1
1005399,2
1005400,1
1005401,0
1005402,1
1005403,1
1005404,0
1005405,1
1005406,0
1005407,2
1005408,0
1005409,1
1005410,0
1005411,2
1005412,2
1005413,0
1005414,0
1005415,0
1005416,2
1005417,2
1005418,2
1005419,2
1005420,0
1005421,0
1005422,2
1005423,0
1005424,1
1005425,1
1005426,2
1005427,2
1005428,0
1005429,1
1005430,2
1005431,0
1005432,2
1005433,0
1005434,0
1005435,1
1005436,2
1005437,2
1005438,0
1005439,0
1005440,0
1005441,1
1005442,0
1005443,0
1005444,2
1005445,2
1005446,2
1005447,0
1005448,1
1005449,0
1005450,2
1005451,1
1005452,1
1005453,2
1005454,0
1005455,2
1005456,2
1005457,1
1005458,0
1005459,0
1005460,2
1005461,1
1005462,2
1005463,1
1005464,2
1005465,0
1005466,1
